,0,1
1290,225,167
1291,117,263
1292,225,128
1293,225,312
1294,164,230
1295,259,138
1296,225,327
1297,131,57
1298,225,198
1299,259,284
1300,225,348
1301,334,318
1302,225,343
1303,225,34
1304,334,4
1305,117,165
1306,131,147
1307,225,80
1308,164,219
1309,164,84
1310,164,87
1311,131,367
1312,225,257
1313,334,47
1314,117,286
1315,225,353
1316,334,1
1317,117,202
1318,225,228
1319,334,182
1320,164,297
1321,350,216
1322,350,57
1323,131,79
1324,225,51
1325,164,262
1326,350,118
1327,259,353
1328,131,134
1329,225,61
1330,164,321
1331,225,314
1332,117,308
1333,164,303
1334,334,147
1335,117,262
1336,225,339
1337,117,341
1338,131,203
1339,225,145
1340,117,105
1341,117,303
1342,225,95
1343,225,113
1344,259,269
1345,164,38
1346,117,32
1347,225,29
1348,131,269
1349,225,111
1350,259,14
1351,334,105
1352,350,79
1353,334,99
1354,164,55
1355,131,249
1356,334,165
1357,350,354
1358,225,255
1359,259,318
1360,164,52
1361,259,197
1362,117,257
1363,350,249
1364,225,323
1365,334,64
1366,334,202
1367,131,354
1368,350,300
1369,131,155
1370,225,101
1371,350,163
1372,225,6
1373,259,6
1374,225,315
1375,259,41
1376,117,57
1377,164,327
1378,131,182
1379,259,255
1380,164,57
1381,117,208
1382,225,28
1383,117,39
1384,259,202
1385,225,267
1386,350,28
1387,334,269
1388,350,308
1389,259,79
1390,164,360
1391,164,353
1392,225,182
1393,225,40
1394,164,317
1395,131,304
1396,225,129
1397,350,178
1398,225,291
1399,334,114
1400,164,343
1401,334,300
1402,259,13
1403,334,255
1404,117,38
1405,334,41
1406,117,315
1407,259,297
1408,225,355
1409,164,315
1410,164,173
1411,117,246
1412,164,155
1413,131,86
1414,225,86
1415,225,63
1416,164,228
1417,259,165
1418,117,28
1419,117,51
1420,164,273
1421,350,86
1422,334,39
1423,225,41
1424,350,134
1425,350,257
1426,164,98
1427,117,91
1428,117,273
1429,117,192
1430,259,341
1431,334,286
1432,225,70
1433,225,357
1434,117,343
1435,164,304
1436,259,190
1437,117,321
1438,225,151
1439,225,49
1440,225,280
1441,350,32
1442,131,208
1443,334,167
1444,164,208
1445,259,134
1446,117,198
1447,225,154
1448,350,304
1449,117,44
1450,117,275
1451,334,330
1452,334,327
1453,259,286
1454,259,135
1455,225,290
1456,225,152
1457,334,48
1458,259,57
1459,131,318
1460,259,2
1461,334,6
1462,164,198
1463,334,236
1464,225,125
1465,117,245
1466,131,105
1467,117,128
1468,164,41
1469,350,99
1470,334,312
1471,117,347
1472,117,167
1473,225,237
1474,259,230
1475,334,279
1476,164,358
1477,117,41
1478,334,200
1479,164,40
1480,259,323
1481,225,187
1482,259,330
1483,259,145
1484,350,105
1485,225,329
1486,117,336
1487,259,48
1488,164,107
1489,334,157
1490,334,137
1491,225,336
1492,259,220
1493,350,318
1494,164,314
1495,131,360
1496,350,327
1497,164,159
1498,131,26
1499,131,39
1500,334,314
1501,334,192
1502,259,107
1503,131,358
1504,117,142
1505,164,275
1506,131,77
1507,225,253
1508,350,26
1509,131,202
1510,259,101
1511,131,38
1512,334,140
1513,334,98
1514,131,323
1515,117,247
1516,259,208
1517,164,279
1518,131,192
1519,225,133
1520,334,61
1521,259,174
1522,164,29
1523,225,71
1524,225,146
1525,334,273
1526,164,10
1527,259,196
1528,350,360
1529,259,38
1530,117,159
1531,334,128
1532,131,291
1533,131,197
1534,117,179
1535,350,165
1536,131,343
1537,117,279
1538,117,314
1539,131,126
1540,225,23
1541,225,299
1542,131,6
1543,225,300
1544,164,306
1545,131,262
1546,259,200
1547,259,155
1548,259,149
1549,350,114
1550,131,32
1551,259,312
1552,334,343
1553,117,0
1554,164,53
1555,164,232
1556,350,39
1557,131,330
1558,131,196
1559,164,59
1560,131,140
1561,259,213
1562,117,86
1563,225,191
1564,164,291
1565,350,230
1566,350,280
1567,117,126
1568,164,11
1569,164,142
1570,164,252
1571,131,219
1572,259,80
1573,334,63
1574,117,190
1575,117,151
1576,164,26
1577,164,43
1578,259,52
1579,117,27
1580,225,256
1581,164,288
1582,164,355
1583,117,140
1584,350,23
1585,350,167
1586,334,44
1587,334,135
1588,334,152
1589,131,125
1590,259,26
1591,117,49
1592,334,29
1593,334,173
1594,259,29
1595,131,23
1596,259,358
1597,117,361
1598,117,33
1599,164,103
1600,259,266
1601,259,49
1602,131,238
1603,334,149
1604,164,0
1605,131,277
1606,350,137
1607,334,291
1608,117,264
1609,334,151
1610,350,200
1611,117,112
1612,334,51
1613,259,10
1614,164,110
1615,131,314
1616,259,44
1617,334,188
1618,164,277
1619,117,307
1620,350,52
1621,334,244
1622,164,27
1623,334,141
1624,350,312
1625,117,59
1626,259,60
1627,334,95
1628,117,215
1629,131,174
1630,117,141
1631,334,213
1632,164,280
1633,350,103
1634,225,326
1635,225,76
1636,117,104
1637,259,245
1638,334,11
1639,131,266
1640,131,111
1641,350,238
1642,131,11
1643,350,339
1644,225,250
1645,164,213
1646,164,162
1647,334,266
1648,350,48
1649,259,176
1650,350,179
1651,259,104
1652,117,193
1653,334,56
1654,259,95
1655,259,63
1656,259,111
1657,131,339
1658,259,298
1659,259,77
1660,350,176
1661,259,141
1662,334,331
1663,225,349
1664,131,29
1665,259,252
1666,350,77
1667,334,23
1668,334,193
1669,131,179
1670,350,10
1671,164,150
1672,164,177
1673,334,183
1674,350,145
1675,131,2
1676,259,212
1677,334,70
1678,225,89
1679,131,198
1680,131,176
1681,259,83
1682,131,142
1683,259,70
1684,259,11
1685,131,10
1686,350,198
1687,350,113
1688,117,355
1689,350,355
1690,259,103
1691,117,100
1692,350,252
1693,334,362
1694,164,212
1695,334,252
1696,225,45
1697,131,49
1698,350,331
1699,259,217
1700,117,11
1701,117,96
1702,350,42
1703,334,280
1704,350,162
1705,164,175
1706,350,192
1707,334,217
1708,334,268
1709,334,103
1710,350,49
1711,334,129
1712,131,288
1713,117,88
1714,131,104
1715,164,191
1716,350,152
1717,334,115
1718,334,133
1719,164,132
1720,259,152
1721,131,82
1722,131,232
1723,225,75
1724,117,127
1725,350,112
1726,164,160
1727,350,174
1728,225,73
1729,259,8
1730,117,177
1731,334,296
1732,259,277
1733,350,81
1734,131,160
1735,350,151
1736,131,177
1737,350,187
1738,334,89
1739,117,299
1740,334,127
1741,131,9
1742,334,277
1743,350,95
1744,131,8
1745,350,22
1746,350,34
1747,164,295
1748,259,56
1749,131,347
1750,259,362
1751,117,357
1752,259,129
1753,259,71
1754,334,237
1755,131,129
1756,131,361
1757,350,217
1758,334,285
1759,164,89
1760,131,278
1761,259,349
1762,259,22
1763,117,191
1764,334,298
1765,131,248
1766,334,212
1767,225,172
1768,350,33
1769,164,292
1770,117,292
1771,131,148
1772,164,302
1773,164,261
1774,131,42
1775,350,245
1776,334,177
1777,259,239
1778,334,43
1779,350,51
1780,225,119
1781,350,46
1782,117,340
1783,131,175
1784,259,75
1785,164,90
1786,225,248
1787,259,162
1788,350,288
1789,350,290
1790,350,127
1791,259,153
1792,350,160
1793,117,258
1794,350,278
1795,117,67
1796,131,78
1797,225,82
1798,164,299
1799,225,3
1800,131,336
1801,225,19
1802,350,188
1803,334,132
1804,350,110
1805,350,82
1806,259,214
1807,334,299
1808,164,172
1809,259,188
1810,131,264
1811,225,258
1812,117,261
1813,164,250
1814,350,264
1815,350,148
1816,117,45
1817,350,70
1818,334,215
1819,334,8
1820,350,67
1821,164,254
1822,117,217
1823,334,53
1824,350,175
1825,164,15
1826,164,45
1827,131,217
1828,225,97
1829,117,15
1830,350,349
1831,225,17
1832,259,326
1833,164,17
1834,350,60
1835,131,115
1836,131,239
1837,117,302
1838,131,285
1839,164,3
1840,117,316
1841,350,183
1842,259,302
1843,334,306
1844,131,191
1845,350,173
1846,334,261
1847,259,295
1848,350,282
1849,225,309
1850,259,53
1851,350,8
1852,117,214
1853,259,316
1854,117,239
1855,117,153
1856,131,237
1857,131,326
1858,334,169
1859,131,46
1860,259,299
1861,117,181
1862,131,254
1863,350,258
1864,225,189
1865,131,83
1866,259,27
1867,259,59
1868,164,309
1869,131,183
1870,334,15
1871,350,191
1872,117,144
1873,350,5
1874,334,191
1875,131,172
1876,131,146
1877,225,194
1878,117,194
1879,350,90
1880,131,223
1881,350,254
1882,350,119
1883,334,172
1884,259,67
1885,164,194
1886,350,66
1887,334,352
1888,334,189
1889,259,223
1890,259,292
1891,350,88
1892,350,172
1893,334,357
1894,350,181
1895,117,90
1896,131,5
1897,350,132
1898,350,292
1899,259,309
1900,259,0
1901,334,194
1902,350,150
1903,259,120
1904,334,248
1905,131,120
1906,350,15
1907,131,15
1908,350,250
1909,334,143
1910,350,120
1911,131,250
1912,350,144
1913,131,144
1914,117,362
1915,117,356
1916,131,44
1917,334,361
1918,131,16
1919,334,363
1920,334,364
1921,117,353
1922,334,302
1923,334,186
1924,334,304
1925,334,218
1926,334,283
1927,334,216
1928,131,47
1929,117,310
1930,117,309
1931,334,185
1932,334,294
1933,117,306
1934,334,366
1935,334,231
1936,131,51
1937,334,282
1938,334,278
1939,334,270
1940,334,235
1941,334,293
1942,334,303
1943,131,24
1944,334,184
1945,131,25
1946,334,257
1947,334,262
1948,334,287
1949,334,246
1950,117,348
1951,334,310
1952,334,201
1953,334,350
1954,334,347
1955,334,335
1956,131,33
1957,334,313
1958,334,333
1959,334,317
1960,334,328
1961,334,292
1962,117,327
1963,334,205
1964,117,328
1965,117,329
1966,334,353
1967,334,230
1968,334,207
1969,334,245
1970,334,289
1971,334,329
1972,334,290
1973,334,360
1974,131,0
1975,334,238
1976,131,1
1977,117,317
1978,334,196
1979,334,307
1980,131,40
1981,334,355
1982,334,250
1983,334,190
1984,334,309
1985,131,4
1986,117,305
1987,164,305
1988,334,371
1989,117,79
1990,350,227
1991,350,232
1992,117,95
1993,350,235
1994,117,93
1995,350,236
1996,350,241
1997,350,256
1998,350,261
1999,350,262
2000,350,223
2001,117,76
2002,350,274
2003,117,74
2004,350,277
2005,350,279
2006,117,70
2007,117,69
2008,117,68
2009,350,283
2010,350,225
2011,350,222
2012,117,61
2013,350,209
2014,117,135
2015,350,186
2016,117,133
2017,117,130
2018,350,196
2019,350,197
2020,117,123
2021,350,202
2022,350,203
2023,350,213
2024,350,221
2025,350,214
2026,350,215
2027,117,114
2028,117,111
2029,350,219
2030,117,109
2031,117,108
2032,350,220
2033,117,106
2034,350,285
2035,117,60
2036,350,1
2037,350,353
2038,350,335
2039,117,24
2040,350,336
2041,117,22
2042,350,337
2043,350,340
2044,350,347
2045,350,348
2046,350,351
2047,117,10
2048,350,333
2049,350,356
2050,350,357
2051,350,361
2052,350,363
2053,117,5
2054,350,366
2055,117,3
2056,117,2
2057,350,368
2058,117,26
2059,117,30
2060,117,58
2061,350,309
2062,350,289
2063,350,291
2064,350,294
2065,117,52
2066,350,295
2067,350,298
2068,350,303
2069,350,305
2070,117,46
2071,117,43
2072,117,31
2073,117,42
2074,350,310
2075,117,40
2076,350,314
2077,117,37
2078,350,315
2079,350,325
2080,350,328
2081,350,329
2082,350,184
2083,117,137
2084,117,139
2085,350,63
2086,350,45
2087,117,259
2088,350,50
2089,117,255
2090,350,53
2091,117,252
2092,117,251
2093,350,55
2094,117,249
2095,350,64
2096,117,267
2097,117,244
2098,117,243
2099,117,242
2100,117,241
2101,117,238
2102,350,68
2103,350,73
2104,117,234
2105,117,233
2106,117,266
2107,117,268
2108,350,182
2109,117,284
2110,117,300
2111,350,9
2112,117,295
2113,350,11
2114,350,12
2115,350,14
2116,117,290
2117,350,17
2118,350,19
2119,350,25
2120,117,269
2121,117,282
2122,117,281
2123,117,280
2124,350,29
2125,350,30
2126,350,36
2127,350,37
2128,350,40
2129,117,270
2130,117,232
2131,117,230
2132,350,78
2133,117,166
2134,350,141
2135,117,182
2136,350,146
2137,117,175
2138,350,149
